"","x"
"X0.5.0.5",0.1437860564861
"X0.6.0.5",0.166988128433318
"X0.7.0.5",0.188793151413726
"X0.8.0.5",0.209337925303382
"X0.9.0.5",0.228740329609132
"X0.9999.0.5",0.247084847216769
"X0.5.0.6",0.172564653100496
"X0.6.0.6",0.199215302621419
"X0.7.0.6",0.2239909898907
"X0.8.0.6",0.247102720864171
"X0.9.0.6",0.268728460952329
"X0.9999.0.6",0.289000094660668
"X0.5.0.7",0.215926977482901
"X0.6.0.7",0.247102720864171
"X0.7.0.7",0.275633672920569
"X0.8.0.7",0.301870979779615
"X0.9.0.7",0.326102160623812
"X0.9999.0.7",0.34854398759904
"X0.5.0.8",0.289019764307352
"X0.6.0.8",0.326102160623812
"X0.7.0.8",0.359198227329917
"X0.8.0.8",0.388958326986576
"X0.9.0.8",0.415891759400172
"X0.9999.0.8",0.440381066632603
"X0.5.0.9",0.440404484991175
"X0.6.0.9",0.483422583646738
"X0.7.0.9",0.52000569204727
"X0.8.0.9",0.551546303743844
"X0.9.0.9",0.579051670849706
"X0.9999.0.9",0.603248332957534
"X0.5.0.9999",0.998568443369479
"X0.6.0.9999",0.998806686223306
"X0.7.0.9999",0.99897694525515
"X0.8.0.9999",0.999104686359379
"X0.9.0.9999",0.999204068319171
"X0.9999.0.9999",0.999283519803609
