"","No screening","0.9999 0 IgAEMA","0.9999 0 IgAEMA plus HLA","0.766 0.625 IgAEMA","0.766 0.625 IgAEMA plus HLA","0.409 0.922 IgAEMA","0.409 0.922 IgAEMA plus HLA","0.123 0.989 IgAEMA","0.123 0.989 IgAEMA plus HLA","0.002 0.9999 IgAEMA","0.002 0.9999 IgAEMA plus HLA","0.773 0.659 IgAEMA","0.773 0.659 IgAEMA plus HLA","0.584 0.889 IgAEMA","0.584 0.889 IgAEMA plus HLA","0.335 0.97 IgAEMA","0.335 0.97 IgAEMA plus HLA","0.1 0.996 IgAEMA","0.1 0.996 IgAEMA plus HLA"
"44",11356.6644278007,15170.8516424403,15498.3624184864,12222.640231585,15077.9434960023,12229.7236981735,14979.2354180301,12619.1040761236,15021.2340672905,13253.1686404262,15074.945894303,12234.2126402131,15072.4546689738,12352.7664912973,15010.8746727711,12784.3902606331,15038.6297309694,13629.5627450254,15099.637322585
"45",11782.7042444433,14967.4332329437,15329.9907634019,12620.4302734117,14913.7503898666,12586.6786911138,14799.9206354734,12874.3575410071,14834.4755854825,13359.8043180743,14883.3477018793,12624.6435780748,14903.8217690143,12684.1675746206,14829.0286632756,13002.8041176608,14850.7848287621,13651.4362365198,14905.972415779
"46",12767.1408551351,14944.5453778607,15174.9718264659,13560.8103258861,14791.108015857,13467.9931082471,14673.4766044693,13603.4306476846,14698.3916979377,13856.7965565211,14740.9212135741,13554.4262097446,14779.2203735065,13527.7705082904,14698.5545697207,13675.6815093585,14712.4417498784,14011.0999409608,14761.0079789129
"47",13280.9649751058,15255.6929071115,15655.6672628845,14072.3236184519,15209.1466161558,13966.0557113178,15060.1360937935,14069.856752204,15077.6713803267,14274.8168462787,15120.3214607069,14063.613186923,15193.7447012128,14018.2284892548,15088.3073145182,14130.5037762787,15093.4464246884,14400.2185604441,15141.5594092847
"48",11975.9240919692,15101.1627082989,15467.4281465943,12814.5359288076,15041.8426958523,12779.0270707681,14931.2894528345,13061.3693977653,14971.7529520799,13535.0739660669,15026.5123955083,12818.4570994014,15032.9252046271,12875.3579446256,14961.4486840383,13187.2949310699,14988.4694659313,13817.8833545722,15051.5270080838
"49",13214.0508707735,15030.1699421621,15342.3569075741,13993.7762715973,14958.5918128312,13880.3310528923,14851.7139566135,13962.5261958814,14895.0296521067,14134.8147712148,14950.5165173301,13983.5921263058,14945.865839992,13926.4826520962,14876.3442412878,14014.4639916831,14908.9406817327,14241.1253167918,14974.5920556661
"50",11690.5820877055,15361.9398014331,15736.8888998753,12545.7764387336,15314.0788646849,12541.4847315705,15202.3588629373,12903.3057436232,15236.5883074647,13501.5254658785,15284.6668708323,12555.2506393795,15305.6467363027,12657.3221660889,15232.9019125342,13059.176003606,15253.6438053171,13859.8721872417,15307.2127956158
"51",12949.4559338155,15124.2083724807,15378.4848981999,13744.6857072155,14992.6316969298,13652.1626914866,14882.5030721203,13788.3361934899,14918.0636203198,14042.2158731728,14969.1770232494,13738.3232050264,14981.3319171734,13711.9881007196,14908.0029855446,13860.502032003,14932.3082911358,14196.4738998085,14992.324733888
"52",12442.7005888598,15097.209369482,15451.0576453508,13259.8829290889,15044.8137626627,13194.8701890915,14931.6632014789,13402.773441289,14968.9402099795,13766.4141931361,15019.9403974471,13258.4793611839,15033.4205073507,13272.5223230103,14959.0884211543,13501.5434542307,14984.3859475197,13985.7963028866,15042.9775985186
"53",12941.6355361638,14946.3196128857,15211.3939055987,13730.7754907108,14841.7973928282,13627.1577892625,14728.5745752541,13736.1130578982,14753.7705852821,13949.211203424,14791.8611910064,13722.4739228032,14828.7204133851,13680.3956416753,14752.1446330399,13798.5352908906,14767.2575857625,14079.6557954316,14270.9779204943
"54",13009.1133568872,15221.1428663733,15427.9020787844,13809.9307322263,15059.9026520494,13718.5714558374,14949.1012508424,13859.6362654185,14975.7766520963,14120.2233852216,15017.0327154811,13803.8869642613,15048.1304552894,13780.0041556591,14973.1475583004,13933.892051793,14989.3837921144,14277.9877118344,15036.1215461099
"55",13715.9945166749,15269.1508888385,15567.0591751304,14488.7687143637,15174.4050103656,14357.3948736666,15048.596264412,14396.8260759515,15076.7213260383,14505.1013619402,15122.8001064923,14475.4900764148,15159.3703278899,14393.3139407785,15072.69183884,14433.5504294428,15090.3925517361,14573.9992822603,15143.8858961692
"56",13704.5672855812,15018.7650941169,15319.3101540924,14462.6881154968,14937.6687287522,14318.2725032638,14819.5097195122,14322.1819882707,14852.5116009946,14376.9905718843,14900.2468228831,14446.9737678137,14922.737526361,14345.0608783196,14842.7016091752,14345.5945620142,14865.6956620861,14414.6953446388,14921.3770770335
"57",13350.9153233261,15271.0169650868,15610.0215034813,14137.0094492211,15209.8815015415,14028.1681840478,15077.1737872169,14124.0578119567,15094.5559006502,14317.0951033394,15129.6346461021,14127.8012999244,15194.6655734776,14078.2858765129,15102.0800067049,14181.7718364024,15108.8180423757,14435.5862686157,14622.7310642474
"58",12953.2805544444,15054.8071825443,15314.5757543137,13748.1483225048,14925.8847506913,13650.5759012391,14810.0573170962,13775.1170268483,14841.1208754614,14011.0510308845,14888.8001004102,13740.9365836894,14913.7004790837,13707.7021784157,14835.3693069077,13843.1105583203,14855.3226799929,14154.5149254805,14910.6972617928
"59",12746.9068464318,15110.5669379235,15375.8299401653,13548.6156347264,14998.5954927767,13466.7883453104,14891.3621077532,13630.4682475896,14925.4028721727,13927.3109276111,14972.3416221542,13544.1647492924,14987.2394663735,13533.3922640388,14916.4008042951,13712.9877892255,14939.547973836,14107.5480505753,14993.4804256548
"60",10440.8970224159,14992.333830951,15356.5951312632,11338.9445339752,14934.1783486023,11388.9978170031,14825.7220832354,11889.3353262305,14856.3011205734,12691.879993064,14899.6674743033,11358.309684627,14927.6536961072,11539.8891847998,14857.7096796276,12095.9733567175,14874.2558534146,13167.6450714422,14920.6952970347
"61",11872.794618363,15124.1671287169,15490.7012367302,12710.3002410425,15063.9935022069,12682.7388928517,14961.5952447461,12983.4790739702,15008.8942143547,13487.3688036004,15069.1789900624,12715.5276333479,15056.7656833687,12783.1901300976,14992.5516784347,13116.1977806712,15025.8822488358,13789.2642723228,15096.3113322691
"62",11215.3135122371,15042.6792235146,15425.6128502166,12088.6940842422,14954.3610967216,12093.3823260531,14841.1144510959,12481.2088519764,14875.3084745058,13114.2924964091,14925.6355991165,12099.9812599819,14950.1307038668,12216.438897713,14876.8225330664,12646.5110879547,14894.4866513134,13490.6074805074,14950.0398374138
"63",13602.6439588794,15267.3778925746,15531.3125680914,14381.119276746,15152.668578187,14255.8851083404,15030.5424528691,14311.7122196865,15053.2611848615,14444.7318337133,15091.8601426104,14368.9938147593,15138.2029877446,14296.0671953371,15053.9330591915,14354.6982522161,15066.6069533938,14528.1308041157,15109.7933963728
"64",10527.3749098716,14908.5441187163,15337.5171331895,11419.9969658329,14855.6217152046,11459.6602419959,14744.721419389,11934.0823767874,14781.2178997259,12697.1875755783,14832.4149096599,11437.5065413395,14852.6648284247,11604.1255608805,14782.2079523897,12131.0897220181,14801.3996511921,13149.5943889003,14857.2373002307
"65",12905.5757606743,14913.0136083585,15149.2176070072,13698.4613787655,14771.5597874655,13593.3071428516,14657.0622001028,13700.7749998415,14686.351656928,13912.7814616137,14731.3451614113,13689.9286469387,14758.95964432,13646.2417492974,14681.3181821635,13762.8361720279,14700.0408589102,14043.0603857504,14751.9402717728
"66",13790.9248956672,15189.2883871454,15513.3087839579,14556.5858867015,15123.0329090608,14415.9881393855,14999.1748716169,14431.7046960699,15026.9747946448,14504.3251856405,15070.0770341963,14541.6366039458,15107.6928689892,14445.9572727611,15022.9296973816,14459.6722627283,15040.5168640827,14552.3778534018,15089.560608725
"67",11986.0857659027,14957.4807037132,15289.9581772762,12817.5622425459,14892.8689616534,12772.0136619467,14785.812480792,13029.3507710677,14823.3791198878,13466.5926125607,14872.8652133094,12819.6779717042,14882.5832628637,12862.0786121683,14813.2606188767,13146.2650560922,14838.8800573273,13728.6494726085,14895.2120653802
"68",13587.6729739955,15251.3163562646,15556.4192916652,14361.8737725219,15155.4914760873,14238.0051910387,15029.3576864994,14295.0073903867,15060.586272918,14430.0495923122,15111.7368314981,14349.8805538273,15141.0470776063,14278.0960692313,15054.3303187248,14338.0740118826,15074.6323659413,14514.8642039581,15135.2365461115
"69",12705.062434183,15189.2099609284,15482.633321504,13521.2649529872,15087.5674817354,13445.1047955439,14972.6592937179,13626.8983303205,15004.120899679,13949.5259306493,15050.4269418343,13517.981829236,15075.8419428771,13516.6970874608,14998.9686305695,13716.163747762,15018.9586816069,14143.8773089602,15071.7015324141
"70",12456.1966127555,15124.635706927,15542.4448189914,13273.6978812188,15104.6272453242,13209.2130517903,14973.5645566788,13418.6766641692,15002.2860565065,13784.8107955915,15049.634725451,13272.4176280497,15091.936853609,13287.3680228565,15002.7811948286,13518.2167530175,15018.6768769879,14005.7365265149,15072.0357798943
"71",11530.2791348859,14894.3284382603,15228.6448627121,12378.3522393128,14785.4073554963,12354.4208327959,14684.2140068211,12668.6645149494,14729.3693791397,13194.8925392495,14788.961885478,12384.3445188318,14780.7627164124,12458.5001094405,14717.3015643165,12806.8998941061,14747.1194598493,13510.7284998134,14816.4158604446
"72",12688.1905257298,15274.0213429775,15591.7070272058,13504.3657369943,15168.2624647731,13434.9560260023,15039.7677979186,13632.3360134042,15061.9591047022,13978.6721987816,15104.1176980415,13502.2797610062,15156.8425315713,13510.4401722648,15068.2564978754,13727.5378842723,15077.7794834843,14187.1499732914,15124.7628199572
"73",12739.6312200248,15077.4335181793,15422.5054486156,13550.8694196071,15028.8304813032,13465.1658944546,14913.2987562835,13623.6202204216,14944.5477749435,13911.8145261885,14988.3158932236,13545.8728215734,15015.8568851036,13530.9008982732,14938.988181027,13704.3280522605,14959.2235980891,14086.3117368918,14367.7712136083
"74",11776.0704253163,15069.5892106895,15491.0775480073,12620.2230700386,15049.1237278629,12591.5534068104,14923.3861416721,12893.9457205162,14953.1124790805,13402.790649508,14999.984833475,12625.3945466626,15038.4877850649,12692.805044807,14954.1757914499,13028.1112719107,14970.3216251595,13708.7088617732,15022.3447934586
"75",13373.4221316567,15113.5992847143,15443.6917536039,14152.6963446184,15039.3599513172,14032.6084219157,14905.65217561,14100.4248550879,14926.8733682391,14251.6171079235,14967.3611118154,14141.4599120453,15023.9270142276,14075.6739004372,14930.5995403297,14147.7792549258,14941.0625713055,14345.7832599712,14986.5650558538
"76",11408.2669316799,14963.7489587902,15400.8030747448,12262.4831316382,14914.1827590362,12255.450141201,14796.2164838029,12607.3191272272,14832.5848896214,13182.6914979991,14886.4869530829,12271.5248955642,14909.2834899577,12369.2754266791,14832.5980945234,12758.5956091853,14852.059769408,13523.6462866894,14912.460648867
"77",12834.8832417712,14959.3964153948,15263.2918950935,13631.4356217387,14842.0699525479,13534.3253268293,14708.0035727532,13661.0539359293,14727.943513394,13900.7333629701,14770.3293582529,13624.3649612607,14829.1571111292,13592.1989884278,14735.3424501528,13730.197015877,14743.125673807,14046.6008131825,14791.210721813
"78",12252.120639396,15022.8753311675,15313.5148854484,13074.5810335477,14914.4806270678,13018.5318740253,14807.1840536584,13247.5345444203,14844.429817527,13639.8020239562,14895.6386788225,13074.8088809602,14904.904798096,13101.6349143679,14834.8402337536,13353.7466740801,14859.8370444034,13874.3883864305,14918.9597141888
"79",13933.9956954987,15327.7734407186,15674.5935748288,14701.1211258258,15257.6853229232,14558.7668456623,15110.5546420457,14571.7601987878,15127.2233080031,14641.1200216001,15167.8905095612,14685.929256298,15240.1391072836,14588.2875646051,15135.2729085803,14599.1487513437,15141.2929553444,14687.6421076225,15187.6632957772
"80",12247.5346198892,15042.3341907342,15388.5468480929,13071.8969627943,14988.073083318,13014.9149297152,14870.4996870359,13243.9445551136,14899.2849581327,13639.0617586629,14942.1359003808,13071.9954197509,14976.0490293793,13098.0543755324,14897.3669040907,13350.7006390682,14914.5769719757,13876.6859378564,14962.0828236237
"81",12161.5139478978,15183.3681994825,15561.6987990784,12991.7777086646,15120.7467874651,12949.7220335908,14992.9152762444,13214.7351781576,15018.0932774168,13663.4195070262,15062.3519598074,12994.5338987922,15110.4777631547,13041.8189734385,15023.5131527498,13334.7320901352,15035.0310119104,13932.2182090706,15083.9661478942
"82",13099.1922220861,15067.9540873366,15399.579299991,13884.86274273,14975.0413323823,13779.6210652363,14836.3623339905,13883.4791729009,14855.6222695921,14088.6267554408,14898.312480655,13876.2592434275,14960.9652368845,13831.5968981062,14863.3908978835,13944.0504330644,14870.703322685,14214.3316648927,14919.3342504759
