,,Sensitivity,,Specificity
12008,2.991,0.95,5.296,1.00
12009,2.991,0.95,5.296,1.00
12010,2.991,0.95,5.296,1.00
12011,3.542,0.97,3.549,0.97
12012,3.542,0.97,3.549,0.97
12013,3.542,0.97,3.549,0.97
12014,3.542,0.97,3.549,0.97
12015,3.542,0.97,3.549,0.97
12016,3.542,0.97,3.549,0.97
12017,3.542,0.97,3.549,0.97
12018,3.542,0.97,3.549,0.97
12019,3.542,0.97,3.549,0.97
12020,3.542,0.97,3.549,0.97
12021,3.984,0.98,-2.077,0.11
12022,3.984,0.98,-2.077,0.11
12023,3.984,0.98,-2.077,0.11
12024,3.359,0.97,20.42,1.00
12025,3.621,0.97,16.02,1.00
12026,3.621,0.97,16.02,1.00
12027,3.621,0.97,16.02,1.00
12028,3.621,0.97,16.02,1.00
12029,3.621,0.97,16.02,1.00
12030,3.034,0.95,11.34,1.00
12031,2.163,0.90,16.21,1.00
12032,3.187,0.96,14.8,1.00
12033,3.187,0.96,14.8,1.00
12034,3.187,0.96,14.8,1.00
12035,3.603,0.97,13.55,1.00
12036,3.603,0.97,13.55,1.00
12037,3.603,0.97,13.55,1.00
12038,3.603,0.97,13.55,1.00
12039,3.69,0.98,6.896,1.00
12040,3.69,0.98,6.896,1.00
12041,2.875,0.95,-4.143,0.02
12042,3.428,0.97,8.284,1.00
12043,3.428,0.97,8.284,1.00
12044,3.428,0.97,8.284,1.00
12045,3.428,0.97,8.284,1.00
12046,3.428,0.97,8.284,1.00
12047,3.428,0.97,8.284,1.00
12048,3.428,0.97,8.284,1.00
12049,3.631,0.97,5.557,1.00
12050,3.631,0.97,5.557,1.00
12051,3.379,0.97,-14.86,0.00
12052,3.772,0.98,1.762,0.85
12053,2.928,0.95,10.85,1.00
12054,3.145,0.96,3.407,0.97
12055,3.145,0.96,3.407,0.97
12056,3.145,0.96,3.407,0.97
12057,3.739,0.98,4.878,0.99
12058,2.389,0.92,2.265,0.91
12059,2.389,0.92,2.265,0.91
12060,2.987,0.95,3.36,0.97
12061,3.128,0.96,3.811,0.98
12062,3.128,0.96,3.811,0.98
12063,3.128,0.96,3.811,0.98
12064,3.128,0.96,3.811,0.98
12065,3.128,0.96,3.811,0.98
12066,3.173,0.96,3.183,0.96
12067,3.225,0.96,4.445,0.99
12068,3.95,0.98,3.002,0.95
12069,3.95,0.98,3.002,0.95
12070,3.95,0.98,3.002,0.95
12071,2.891,0.95,-16.13,0.00
12072,2.841,0.94,3.604,0.97
12073,2.841,0.94,3.604,0.97
12074,2.841,0.94,3.604,0.97
12075,2.841,0.94,3.604,0.97
12076,2.841,0.94,3.604,0.97
12077,2.841,0.94,3.604,0.97
12078,2.841,0.94,3.604,0.97
12079,2.841,0.94,3.604,0.97
12080,2.841,0.94,3.604,0.97
12081,3.517,0.97,-2.826,0.06
12082,3.517,0.97,-2.826,0.06
12083,3.517,0.97,-2.826,0.06
12084,3.612,0.97,-4.24E-04,0.50
12085,3.612,0.97,-4.24E-04,0.50
12086,3.612,0.97,-4.24E-04,0.50
12087,2.516,0.93,3.692,0.98
12088,2.516,0.93,3.692,0.98
12089,2.516,0.93,3.692,0.98
12090,2.516,0.93,3.692,0.98
12091,5.137,0.99,-1.584,0.17
12092,-0.9461,0.28,9.232,1.00
12093,-0.9461,0.28,9.232,1.00
12094,-0.9461,0.28,9.232,1.00
12095,-0.9461,0.28,9.232,1.00
12096,-0.9461,0.28,9.232,1.00
12097,-0.9461,0.28,9.232,1.00
12098,-0.9461,0.28,9.232,1.00
12099,-0.9461,0.28,9.232,1.00
12100,-0.9461,0.28,9.232,1.00
12101,3.413,0.97,-26.25,0.00
12102,3.602,0.97,-3.625,0.03
12103,3.602,0.97,-3.625,0.03
12104,3.602,0.97,-3.625,0.03
12105,3.602,0.97,-3.625,0.03
12106,3.602,0.97,-3.625,0.03
12107,2.546,0.93,-3.606,0.03
12108,2.739,0.94,2.984,0.95
12109,2.739,0.94,2.984,0.95
12110,2.739,0.94,2.984,0.95
12111,4.176,0.98,-19.91,0.00
12112,3.259,0.96,-3.22,0.04
12113,3.259,0.96,-3.22,0.04
12114,3.259,0.96,-3.22,0.04
12115,3.413,0.97,2.098,0.89
12116,3.413,0.97,2.098,0.89
12117,3.413,0.97,2.098,0.89
12118,3.413,0.97,2.098,0.89
12119,3.413,0.97,2.098,0.89
12120,3.413,0.97,2.098,0.89
12121,3.489,0.97,-7.834,0.00
12122,2.711,0.94,-2.998,0.05
12123,2.961,0.95,17.87,1.00
12124,4.434,0.99,6.219,1.00
12125,4.434,0.99,6.219,1.00
12126,4.434,0.99,6.219,1.00
12127,4.434,0.99,6.219,1.00
12128,4.434,0.99,6.219,1.00
12129,4.434,0.99,6.219,1.00
12130,4.434,0.99,6.219,1.00
12131,4.014,0.98,-9.554,0.00
12132,4.014,0.98,-9.554,0.00
12133,2.151,0.90,14.69,1.00
12134,2.151,0.90,14.69,1.00
12135,3.332,0.97,11.93,1.00
12136,3.332,0.97,11.93,1.00
12137,3.332,0.97,11.93,1.00
12138,3.332,0.97,11.93,1.00
12139,3.332,0.97,11.93,1.00
12140,3.332,0.97,11.93,1.00
12141,2.611,0.93,-4.079,0.02
12142,2.611,0.93,-4.079,0.02
12143,2.611,0.93,-4.079,0.02
12144,2.611,0.93,-4.079,0.02
12145,2.611,0.93,-4.079,0.02
12146,4.182,0.98,13.23,1.00
12147,4.459,0.99,8.227,1.00
12148,4.459,0.99,8.227,1.00
12149,3.529,0.97,8.57,1.00
12150,2.578,0.93,6.651,1.00
12151,3.764,0.98,0.4182,0.60
12152,3.764,0.98,0.4182,0.60
12153,3.764,0.98,0.4182,0.60
12154,3.606,0.97,3.129,0.96
12155,3.606,0.97,3.129,0.96
12156,3.606,0.97,3.129,0.96
12157,3.606,0.97,3.129,0.96
12158,3.606,0.97,3.129,0.96
12159,3.606,0.97,3.129,0.96
12160,3.606,0.97,3.129,0.96
12161,3.24,0.96,-10.88,0.00
12162,3.844,0.98,-2.62,0.07
12163,3.057,0.96,2.273,0.91
12164,3.057,0.96,2.273,0.91
12165,3.057,0.96,2.273,0.91
12166,3.057,0.96,2.273,0.91
12167,3.057,0.96,2.273,0.91
12168,2.954,0.95,2.552,0.93
12169,2.954,0.95,2.552,0.93
12170,3.491,0.97,5.601,1.00
12171,3.885,0.98,-9.086,0.00
12172,3.885,0.98,-9.086,0.00
12173,3.883,0.98,7.904,1.00
12174,3.883,0.98,7.904,1.00
12175,3.883,0.98,7.904,1.00
12176,3.883,0.98,7.904,1.00
12177,3.883,0.98,7.904,1.00
12178,3.883,0.98,7.904,1.00
12179,3.883,0.98,7.904,1.00
12180,2.852,0.95,8.996,1.00
12181,4.657,0.99,4.46,0.99
12182,4.362,0.99,3.278,0.96
12183,4.362,0.99,3.278,0.96
12184,4.362,0.99,3.278,0.96
12185,4.362,0.99,3.278,0.96
12186,4.362,0.99,3.278,0.96
12187,4.362,0.99,3.278,0.96
12188,4.362,0.99,3.278,0.96
12189,4.362,0.99,3.278,0.96
12190,4.362,0.99,3.278,0.96
12191,3.858,0.98,-5.562,0.00
12192,1.343,0.79,7.585,1.00
12193,1.343,0.79,7.585,1.00
12194,1.343,0.79,7.585,1.00
12195,1.343,0.79,7.585,1.00
12196,1.343,0.79,7.585,1.00
12197,1.343,0.79,7.585,1.00
12198,1.343,0.79,7.585,1.00
12199,1.343,0.79,7.585,1.00
12200,1.343,0.79,7.585,1.00
12201,2.258,0.91,2.908,0.95
12202,2.258,0.91,2.908,0.95
12203,2.258,0.91,2.908,0.95
12204,2.258,0.91,2.908,0.95
12205,2.258,0.91,2.908,0.95
12206,2.258,0.91,2.908,0.95
12207,2.258,0.91,2.908,0.95
12208,2.258,0.91,2.908,0.95
12209,2.258,0.91,2.908,0.95
12210,2.258,0.91,2.908,0.95
12211,4.063,0.98,10.32,1.00
12212,4.063,0.98,10.32,1.00
12213,4.063,0.98,10.32,1.00
12214,4.063,0.98,10.32,1.00
12215,4.063,0.98,10.32,1.00
12216,4.063,0.98,10.32,1.00
12217,4.063,0.98,10.32,1.00
12218,4.063,0.98,10.32,1.00
12219,4.063,0.98,10.32,1.00
12220,4.063,0.98,10.32,1.00
12221,3.562,0.97,-19.19,0.00
12222,3.495,0.97,-9.144,0.00
12223,4.012,0.98,-7.418,0.00
12224,3.543,0.97,3.637,0.97
12225,3.543,0.97,3.637,0.97
12226,3.693,0.98,2.909,0.95
12227,3.693,0.98,2.909,0.95
12228,3.693,0.98,2.909,0.95
12229,3.693,0.98,2.909,0.95
12230,3.693,0.98,2.909,0.95
12231,3.665,0.98,0.03888,0.51
12232,3.056,0.96,14.27,1.00
12233,3.795,0.98,2.995,0.95
12234,3.795,0.98,2.995,0.95
12235,3.795,0.98,2.995,0.95
12236,3.795,0.98,2.995,0.95
12237,2.327,0.91,3.148,0.96
12238,2.327,0.91,3.148,0.96
12239,2.327,0.91,3.148,0.96
12240,2.327,0.91,3.148,0.96
12241,2.755,0.94,24.54,1.00
12242,3.206,0.96,1.54,0.82
12243,3.15,0.96,11.45,1.00
12244,3.15,0.96,11.45,1.00
12245,2.815,0.94,6.122,1.00
12246,2.815,0.94,6.122,1.00
12247,2.815,0.94,6.122,1.00
12248,4.087,0.98,4.696,0.99
12249,4.087,0.98,4.696,0.99
12250,4.087,0.98,4.696,0.99
12251,3.167,0.96,-8.549,0.00
12252,3.604,0.97,1.748,0.85
12253,3.604,0.97,1.748,0.85
12254,3.604,0.97,1.748,0.85
12255,3.604,0.97,1.748,0.85
12256,3.604,0.97,1.748,0.85
12257,3.241,0.96,3.799,0.98
12258,3.241,0.96,3.799,0.98
12259,3.241,0.96,3.799,0.98
12260,3.241,0.96,3.799,0.98
12261,2.618,0.93,-14.94,0.00
12262,3.966,0.98,-4.338,0.01
12263,2.73,0.94,10.22,1.00
12264,2.73,0.94,10.22,1.00
12265,2.73,0.94,10.22,1.00
12266,3.816,0.98,4.997,0.99
12267,3.816,0.98,4.997,0.99
12268,3.816,0.98,4.997,0.99
12269,3.816,0.98,4.997,0.99
12270,3.816,0.98,4.997,0.99
12271,3.228,0.96,-1.712,0.15
12272,2.371,0.91,0.3137,0.58
12273,3.274,0.96,2.133,0.89
12274,3.274,0.96,2.133,0.89
12275,3.274,0.96,2.133,0.89
12276,3.274,0.96,2.133,0.89
12277,3.274,0.96,2.133,0.89
12278,3.274,0.96,2.133,0.89
12279,3.274,0.96,2.133,0.89
12280,3.327,0.97,4.716,0.99
12281,3.528,0.97,-5.371,0.00
12282,4.146,0.98,-2.94,0.05
12283,4.408,0.99,11.11,1.00
12284,4.408,0.99,11.11,1.00
12285,3.93,0.98,9.994,1.00
12286,3.93,0.98,9.994,1.00
12287,3.93,0.98,9.994,1.00
12288,3.93,0.98,9.994,1.00
12289,3.93,0.98,9.994,1.00
12290,3.93,0.98,9.994,1.00
12291,3.834,0.98,2.94,0.95
12292,3.834,0.98,2.94,0.95
12293,3.834,0.98,2.94,0.95
12294,3.834,0.98,2.94,0.95
12295,3.834,0.98,2.94,0.95
12296,3.834,0.98,2.94,0.95
12297,3.834,0.98,2.94,0.95
12298,3.834,0.98,2.94,0.95
12299,3.528,0.97,4.039,0.98
12300,3.354,0.97,4.031,0.98
12301,3.424,0.97,-10.47,0.00
12302,3.285,0.96,-6.72,0.00
12303,3.285,0.96,-6.72,0.00
12304,3.091,0.96,7.442,1.00
12305,3.091,0.96,7.442,1.00
12306,3.091,0.96,7.442,1.00
12307,3.091,0.96,7.442,1.00
12308,3.091,0.96,7.442,1.00
12309,3.091,0.96,7.442,1.00
12310,3.091,0.96,7.442,1.00
12311,4.706,0.99,-17.4,0.00
12312,3.246,0.96,6.317,1.00
12313,3.798,0.98,5.206,0.99
12314,3.798,0.98,5.206,0.99
12315,3.798,0.98,5.206,0.99
12316,3.798,0.98,5.206,0.99
12317,3.798,0.98,5.206,0.99
12318,3.798,0.98,5.206,0.99
12319,3.798,0.98,5.206,0.99
12320,3.798,0.98,5.206,0.99
12321,3.564,0.97,-3.996,0.02
12322,2.441,0.92,2.801,0.94
12323,2.985,0.95,4.096,0.98
12324,2.985,0.95,4.096,0.98
12325,2.985,0.95,4.096,0.98
12326,2.985,0.95,4.096,0.98
12327,2.985,0.95,4.096,0.98
12328,2.985,0.95,4.096,0.98
12329,2.985,0.95,4.096,0.98
12330,4.054,0.98,6.963,1.00
12331,2.389,0.92,-14.56,0.00
12332,2.834,0.94,4.249,0.99
12333,2.834,0.94,4.249,0.99
12334,2.834,0.94,4.249,0.99
12335,2.834,0.94,4.249,0.99
12336,2.834,0.94,4.249,0.99
12337,2.834,0.94,4.249,0.99
12338,2.834,0.94,4.249,0.99
12339,2.834,0.94,4.249,0.99
12340,2.834,0.94,4.249,0.99
12341,2.968,0.95,-9.01E-04,0.50
12342,2.559,0.93,8.249,1.00
12343,4.071,0.98,3.386,0.97
12344,4.071,0.98,3.386,0.97
12345,4.071,0.98,3.386,0.97
12346,4.071,0.98,3.386,0.97
12347,3.347,0.97,3.725,0.98
12348,3.347,0.97,3.725,0.98
12349,3.347,0.97,3.725,0.98
12350,3.347,0.97,3.725,0.98
12351,2.457,0.92,-2.275,0.09
12352,2.782,0.94,11.27,1.00
12353,2.782,0.94,11.27,1.00
12354,2.782,0.94,11.27,1.00
12355,2.782,0.94,11.27,1.00
12356,2.782,0.94,11.27,1.00
12357,2.782,0.94,11.27,1.00
12358,2.782,0.94,11.27,1.00
12359,2.868,0.95,4.736,0.99
12360,2.868,0.95,4.736,0.99
12361,3.514,0.97,-17.46,0.00
12362,3.721,0.98,-10.42,0.00
12363,3.721,0.98,-10.42,0.00
12364,3.52,0.97,4.032,0.98
12365,3.52,0.97,4.032,0.98
12366,3.52,0.97,4.032,0.98
12367,3.52,0.97,4.032,0.98
12368,3.52,0.97,4.032,0.98
12369,3.52,0.97,4.032,0.98
12370,3.52,0.97,4.032,0.98
12371,2.616,0.93,-11.17,0.00
12372,3.335,0.97,-4.45,0.01
12373,3.335,0.97,-4.45,0.01
12374,2.389,0.92,8.557,1.00
12375,3.661,0.97,5.778,1.00
12376,3.661,0.97,5.778,1.00
12377,3.661,0.97,5.778,1.00
12378,3.661,0.97,5.778,1.00
12379,3.661,0.97,5.778,1.00
12380,3.661,0.97,5.778,1.00
12381,2.9,0.95,14.89,1.00
12382,2.583,0.93,9.97,1.00
12383,2.583,0.93,9.97,1.00
12384,3.277,0.96,9.698,1.00
12385,2.634,0.93,2.71,0.94
12386,2.386,0.92,3.813,0.98
12387,2.386,0.92,3.813,0.98
12388,2.386,0.92,3.813,0.98
12389,2.386,0.92,3.813,0.98
12390,2.386,0.92,3.813,0.98
12391,4.162,0.98,-1.449,0.19
12392,4.162,0.98,-1.449,0.19
12393,4.162,0.98,-1.449,0.19
12394,1.491,0.82,10.4,1.00
12395,1.491,0.82,10.4,1.00
12396,1.491,0.82,10.4,1.00
12397,1.491,0.82,10.4,1.00
12398,1.491,0.82,10.4,1.00
12399,1.491,0.82,10.4,1.00
12400,1.491,0.82,10.4,1.00
12401,4.626,0.99,-13.84,0.00
12402,1.887,0.87,7.524,1.00
12403,1.887,0.87,7.524,1.00
12404,1.887,0.87,7.524,1.00
12405,1.887,0.87,7.524,1.00
12406,1.887,0.87,7.524,1.00
12407,1.887,0.87,7.524,1.00
12408,1.887,0.87,7.524,1.00
12409,1.887,0.87,7.524,1.00
12410,1.887,0.87,7.524,1.00
12411,3.423,0.97,11.36,1.00
12412,3.078,0.96,9.118,1.00
12413,3.601,0.97,5.158,0.99
12414,3.601,0.97,5.158,0.99
12415,3.601,0.97,5.158,0.99
12416,3.601,0.97,5.158,0.99
12417,3.601,0.97,5.158,0.99
12418,3.601,0.97,5.158,0.99
12419,3.889,0.98,3.01,0.95
12420,3.889,0.98,3.01,0.95
12421,4.219,0.99,5.616,1.00
12422,4.219,0.99,5.616,1.00
12423,4.219,0.99,5.616,1.00
12424,4.825,0.99,6.747,1.00
12425,4.825,0.99,6.747,1.00
12426,4.825,0.99,6.747,1.00
12427,4.825,0.99,6.747,1.00
12428,4.825,0.99,6.747,1.00
12429,4.825,0.99,6.747,1.00
12430,4.825,0.99,6.747,1.00
12431,3.962,0.98,-7.588,0.00
12432,3.457,0.97,-7.152,0.00
12433,2.874,0.95,1.228,0.77
12434,2.874,0.95,1.228,0.77
12435,2.874,0.95,1.228,0.77
12436,2.874,0.95,1.228,0.77
12437,2.98,0.95,8.107,1.00
12438,2.98,0.95,8.107,1.00
12439,2.98,0.95,8.107,1.00
12440,2.98,0.95,8.107,1.00
12441,3.621,0.97,-8.985,0.00
12442,4.085,0.98,-5.716,0.00
12443,4.085,0.98,-5.716,0.00
12444,4.085,0.98,-5.716,0.00
12445,4.085,0.98,-5.716,0.00
12446,2.726,0.94,2.044,0.89
12447,2.726,0.94,2.044,0.89
12448,3.384,0.97,4.03,0.98
12449,4.188,0.99,6.409,1.00
12450,4.188,0.99,6.409,1.00
12451,3.132,0.96,7.609,1.00
12452,3.132,0.96,7.609,1.00
12453,3.132,0.96,7.609,1.00
12454,3.132,0.96,7.609,1.00
12455,3.132,0.96,7.609,1.00
12456,3.132,0.96,7.609,1.00
12457,3.132,0.96,7.609,1.00
12458,3.071,0.96,6.334,1.00
12459,3.071,0.96,6.334,1.00
12460,3.071,0.96,6.334,1.00
12461,3.618,0.97,12.74,1.00
12462,3.618,0.97,12.74,1.00
12463,3.618,0.97,12.74,1.00
12464,3.618,0.97,12.74,1.00
12465,3.618,0.97,12.74,1.00
12466,3.618,0.97,12.74,1.00
12467,3.663,0.97,8.777,1.00
12468,3.663,0.97,8.777,1.00
12469,3.733,0.98,3.104,0.96
12470,3.733,0.98,3.104,0.96
12471,4.253,0.99,-3.022,0.05
12472,3.111,0.96,7.353,1.00
12473,3.111,0.96,7.353,1.00
12474,3.111,0.96,7.353,1.00
12475,3.111,0.96,7.353,1.00
12476,3.111,0.96,7.353,1.00
12477,3.111,0.96,7.353,1.00
12478,3.111,0.96,7.353,1.00
12479,3.111,0.96,7.353,1.00
12480,3.111,0.96,7.353,1.00
12481,4.131,0.98,-19.87,0.00
12482,2.989,0.95,3.626,0.97
12483,2.989,0.95,3.626,0.97
12484,2.608,0.93,4.079,0.98
12485,2.608,0.93,4.079,0.98
12486,2.608,0.93,4.079,0.98
12487,2.608,0.93,4.079,0.98
12488,2.608,0.93,4.079,0.98
12489,2.608,0.93,4.079,0.98
12490,2.608,0.93,4.079,0.98
12491,4.028,0.98,-16.71,0.00
12492,3.566,0.97,-9.076,0.00
12493,3.569,0.97,-8.224,0.00
12494,3.244,0.96,1.279,0.78
12495,4.337,0.99,14.54,1.00
12496,4.337,0.99,14.54,1.00
12497,4.337,0.99,14.54,1.00
12498,4.337,0.99,14.54,1.00
12499,4.337,0.99,14.54,1.00
12500,4.337,0.99,14.54,1.00
12501,3.013,0.95,-1.403,0.20
12502,2.585,0.93,3.707,0.98
12503,2.585,0.93,3.707,0.98
12504,2.585,0.93,3.707,0.98
12505,2.585,0.93,3.707,0.98
12506,2.585,0.93,3.707,0.98
12507,2.585,0.93,3.707,0.98
12508,2.585,0.93,3.707,0.98
12509,2.585,0.93,3.707,0.98
12510,2.585,0.93,3.707,0.98
12511,3.014,0.95,-11.24,0.00
12512,3.55,0.97,11.82,1.00
12513,3.55,0.97,11.82,1.00
12514,3.55,0.97,11.82,1.00
12515,3.847,0.98,1.74,0.85
12516,3.847,0.98,1.74,0.85
12517,3.847,0.98,1.74,0.85
12518,3.847,0.98,1.74,0.85
12519,3.846,0.98,4.838,0.99
12520,3.846,0.98,4.838,0.99
12521,3.075,0.96,15.41,1.00
12522,3.075,0.96,15.41,1.00
12523,3.075,0.96,15.41,1.00
12524,3.075,0.96,15.41,1.00
12525,3.648,0.97,7.149,1.00
12526,2.511,0.92,3.53,0.97
12527,2.511,0.92,3.53,0.97
12528,2.511,0.92,3.53,0.97
12529,2.511,0.92,3.53,0.97
12530,3.329,0.97,1.919,0.87
12531,4.885,0.99,-8.446,0.00
12532,1.606,0.83,-1.898,0.13
12533,2.788,0.94,-1.238,0.22
12534,2.788,0.94,-1.238,0.22
12535,2.788,0.94,-1.238,0.22
12536,3.441,0.97,4.454,0.99
12537,3.441,0.97,4.454,0.99
12538,3.441,0.97,4.454,0.99
12539,3.441,0.97,4.454,0.99
12540,3.441,0.97,4.454,0.99
12541,3.163,0.96,-9.521,0.00
12542,3.163,0.96,-9.521,0.00
12543,3.163,0.96,-9.521,0.00
12544,3.163,0.96,-9.521,0.00
12545,3.684,0.98,2.533,0.93
12546,3.51,0.97,4.886,0.99
12547,3.51,0.97,4.886,0.99
12548,3.51,0.97,4.886,0.99
12549,3.51,0.97,4.886,0.99
12550,3.51,0.97,4.886,0.99
12551,4.351,0.99,1.677,0.84
12552,4.351,0.99,1.677,0.84
12553,4.351,0.99,1.677,0.84
12554,3.212,0.96,9.819,1.00
12555,3.504,0.97,5.242,0.99
12556,3.504,0.97,5.242,0.99
12557,3.504,0.97,5.242,0.99
12558,3.504,0.97,5.242,0.99
12559,3.504,0.97,5.242,0.99
12560,3.504,0.97,5.242,0.99
12561,4.193,0.99,-5.441,0.00
12562,1.932,0.87,10.94,1.00
12563,1.932,0.87,10.94,1.00
12564,1.932,0.87,10.94,1.00
12565,1.932,0.87,10.94,1.00
12566,1.932,0.87,10.94,1.00
12567,1.932,0.87,10.94,1.00
12568,2.88,0.95,4.814,0.99
12569,2.88,0.95,4.814,0.99
12570,2.88,0.95,4.814,0.99
12571,3.871,0.98,9.046,1.00
12572,4.229,0.99,3.618,0.97
12573,4.229,0.99,3.618,0.97
12574,4.229,0.99,3.618,0.97
12575,4.229,0.99,3.618,0.97
12576,4.229,0.99,3.618,0.97
12577,4.229,0.99,3.618,0.97
12578,4.229,0.99,3.618,0.97
12579,4.229,0.99,3.618,0.97
12580,2.951,0.95,8.545,1.00
12581,4.222,0.99,-3.477,0.03
12582,4.222,0.99,-3.477,0.03
12583,4.222,0.99,-3.477,0.03
12584,2.305,0.91,-0.9139,0.29
12585,2.614,0.93,1.246,0.78
12586,2.614,0.93,1.246,0.78
12587,2.614,0.93,1.246,0.78
12588,3.624,0.97,8.57,1.00
12589,3.624,0.97,8.57,1.00
12590,3.026,0.95,7.247,1.00
12591,2.87,0.95,-6.079,0.00
12592,3.885,0.98,-0.5553,0.36
12593,3.885,0.98,-0.5553,0.36
12594,2.21,0.90,6.074,1.00
12595,2.21,0.90,6.074,1.00
12596,2.21,0.90,6.074,1.00
12597,2.21,0.90,6.074,1.00
12598,2.21,0.90,6.074,1.00
12599,2.21,0.90,6.074,1.00
12600,2.21,0.90,6.074,1.00
12601,3.275,0.96,4.551,0.99
12602,2.81,0.94,5.663,1.00
12603,2.81,0.94,5.663,1.00
12604,2.81,0.94,5.663,1.00
12605,2.81,0.94,5.663,1.00
12606,2.81,0.94,5.663,1.00
12607,2.81,0.94,5.663,1.00
12608,3.249,0.96,3.548,0.97
12609,3.249,0.96,3.548,0.97
12610,3.249,0.96,3.548,0.97
12611,4.018,0.98,3.664,0.98
12612,4.018,0.98,3.664,0.98
12613,4.018,0.98,3.664,0.98
12614,4.018,0.98,3.664,0.98
12615,4.018,0.98,3.664,0.98
12616,4.018,0.98,3.664,0.98
12617,4.018,0.98,3.664,0.98
12618,4.018,0.98,3.664,0.98
12619,4.018,0.98,3.664,0.98
12620,4.018,0.98,3.664,0.98
12621,4.238,0.99,-10.28,0.00
12622,1.919,0.87,-10.1,0.00
12623,3.167,0.96,-9.404,0.00
12624,3.374,0.97,10.52,1.00
12625,3.374,0.97,10.52,1.00
12626,3.374,0.97,10.52,1.00
12627,3.374,0.97,10.52,1.00
12628,3.374,0.97,10.52,1.00
12629,3.331,0.97,2.59,0.93
12630,3.331,0.97,2.59,0.93
12631,4.115,0.98,5.215,0.99
12632,4.115,0.98,5.215,0.99
12633,4.115,0.98,5.215,0.99
12634,4.115,0.98,5.215,0.99
12635,4.115,0.98,5.215,0.99
12636,4.115,0.98,5.215,0.99
12637,4.115,0.98,5.215,0.99
12638,4.115,0.98,5.215,0.99
12639,3.271,0.96,6.895,1.00
12640,3.94,0.98,4.583,0.99
12641,2.9,0.95,-26.15,0.00
12642,3.112,0.96,17.1,1.00
12643,3.112,0.96,17.1,1.00
12644,3.112,0.96,17.1,1.00
12645,3.112,0.96,17.1,1.00
12646,2.959,0.95,11.48,1.00
12647,2.959,0.95,11.48,1.00
12648,3.512,0.97,2.704,0.94
12649,3.512,0.97,2.704,0.94
12650,3.512,0.97,2.704,0.94
12651,3.711,0.98,-1.267,0.22
12652,3.711,0.98,-1.267,0.22
12653,3.711,0.98,-1.267,0.22
12654,3.745,0.98,2.602,0.93
12655,3.745,0.98,2.602,0.93
12656,3.745,0.98,2.602,0.93
12657,3.745,0.98,2.602,0.93
12658,3.745,0.98,2.602,0.93
12659,3.745,0.98,2.602,0.93
12660,3.745,0.98,2.602,0.93
12661,4.962,0.99,-3.627,0.03
12662,1.471,0.81,4.811,0.99
12663,1.471,0.81,4.811,0.99
12664,1.471,0.81,4.811,0.99
12665,1.471,0.81,4.811,0.99
12666,1.471,0.81,4.811,0.99
12667,1.471,0.81,4.811,0.99
12668,1.471,0.81,4.811,0.99
12669,1.471,0.81,4.811,0.99
12670,1.471,0.81,4.811,0.99
12671,3.592,0.97,2.657,0.93
12672,3.592,0.97,2.657,0.93
12673,3.592,0.97,2.657,0.93
12674,3.592,0.97,2.657,0.93
12675,3.592,0.97,2.657,0.93
12676,3.592,0.97,2.657,0.93
12677,3.592,0.97,2.657,0.93
12678,3.648,0.97,4.25,0.99
12679,2.41,0.92,6.314,1.00
12680,2.41,0.92,6.314,1.00
12681,4.506,0.99,-4.6,0.01
12682,2.979,0.95,5.489,1.00
12683,2.979,0.95,5.489,1.00
12684,3.268,0.96,4.349,0.99
12685,2.891,0.95,5.255,0.99
12686,4.188,0.99,5.059,0.99
12687,4.188,0.99,5.059,0.99
12688,4.188,0.99,5.059,0.99
12689,4.188,0.99,5.059,0.99
12690,4.188,0.99,5.059,0.99
12691,4.178,0.98,3.378,0.97
12692,4.178,0.98,3.378,0.97
12693,4.051,0.98,4.89,0.99
12694,4.051,0.98,4.89,0.99
12695,4.051,0.98,4.89,0.99
12696,4.051,0.98,4.89,0.99
12697,4.051,0.98,4.89,0.99
12698,4.051,0.98,4.89,0.99
12699,4.051,0.98,4.89,0.99
12700,4.051,0.98,4.89,0.99
12701,3.533,0.97,3.564,0.97
12702,3.533,0.97,3.564,0.97
12703,3.533,0.97,3.564,0.97
12704,3.533,0.97,3.564,0.97
12705,3.533,0.97,3.564,0.97
12706,3.533,0.97,3.564,0.97
12707,3.533,0.97,3.564,0.97
12708,3.533,0.97,3.564,0.97
12709,3.371,0.97,6.132,1.00
12710,3.371,0.97,6.132,1.00
12711,5.893,1.00,-9.546,0.00
12712,-2.425,0.08,-0.9643,0.28
12713,-2.425,0.08,-0.9643,0.28
12714,-2.425,0.08,-0.9643,0.28
12715,-2.425,0.08,-0.9643,0.28
12716,-2.425,0.08,-0.9643,0.28
12717,-2.425,0.08,-0.9643,0.28
12718,-2.425,0.08,-0.9643,0.28
12719,-2.425,0.08,-0.9643,0.28
12720,-2.425,0.08,-0.9643,0.28
12721,3.565,0.97,1.59,0.83
12722,3.565,0.97,1.59,0.83
12723,3.565,0.97,1.59,0.83
12724,3.565,0.97,1.59,0.83
12725,3.565,0.97,1.59,0.83
12726,3.565,0.97,1.59,0.83
12727,3.565,0.97,1.59,0.83
12728,4.027,0.98,10.41,1.00
12729,4.027,0.98,10.41,1.00
12730,4.027,0.98,10.41,1.00
12731,4.155,0.98,-20.77,0.00
12732,3.441,0.97,-17.55,0.00
12733,3.545,0.97,-14.61,0.00
